participant_id,trial_id,block,block_index,trial_in_block,direction_label,shading_y,shadow_y,top_true_shape,response,timestamp
ag,17,shading,1,1,upper,0.6,,convex,convex,2026-03-16T11:35:23
ag,5,shading,1,2,lower,-0.6,,convex,concave,2026-03-16T11:35:39
ag,1,shading,1,3,bottom,-1.0,,convex,concave,2026-03-16T11:35:42
ag,13,shading,1,4,slightly upper,0.2,,convex,convex,2026-03-16T11:35:50
ag,21,shading,1,5,top,1.0,,convex,convex,2026-03-16T11:35:52
ag,9,shading,1,6,slightly lower,-0.2,,convex,convex,2026-03-16T11:35:53
ag,22,shadow,2,1,top,,1.0,convex,convex,2026-03-16T11:36:10
ag,2,shadow,2,2,bottom,,-1.0,convex,concave,2026-03-16T11:36:11
ag,6,shadow,2,3,lower,,-0.6,convex,convex,2026-03-16T11:36:11
ag,10,shadow,2,4,slightly lower,,-0.2,convex,concave,2026-03-16T11:36:12
ag,14,shadow,2,5,slightly upper,,0.2,convex,convex,2026-03-16T11:36:12
ag,18,shadow,2,6,upper,,0.6,convex,concave,2026-03-16T11:36:13
ag,15,combined,3,1,slightly upper,0.2,0.2,convex,convex,2026-03-16T11:36:18
ag,23,combined,3,2,top,1.0,1.0,convex,convex,2026-03-16T11:36:23
ag,7,combined,3,3,lower,-0.6,-0.6,convex,concave,2026-03-16T11:36:23
ag,11,combined,3,4,slightly lower,-0.2,-0.2,convex,concave,2026-03-16T11:36:24
ag,19,combined,3,5,upper,0.6,0.6,convex,concave,2026-03-16T11:36:24
ag,3,combined,3,6,bottom,-1.0,-1.0,convex,concave,2026-03-16T11:36:24
